,index,Utility,Rate [Hz],Fidelity,Aggregated Utility,Aggregated Rate [Hz],Fidelity Mean,Fidelity Std,User,Method
0,0,2.4632333918811327,32.4,0.8978727997351911,11.473572702222814,123.8,0.907331,0.005769,0,Surrogate
1,0,2.3820335215057202,26.0,0.9090916449731417,11.473572702222814,123.8,0.907331,0.005769,1,Surrogate
2,0,2.304177603477108,24.8,0.9065222432841298,11.473572702222814,123.8,0.907331,0.005769,2,Surrogate
3,0,2.2004520490589683,21.4,0.9102105170024213,11.473572702222814,123.8,0.907331,0.005769,3,Surrogate
4,0,2.123676136299885,19.2,0.9129556560547216,11.473572702222814,123.8,0.907331,0.005769,4,Surrogate
5,1,2.4190621735679927,31.0,0.8978727997351909,11.610859060907863,128.6,0.907331,0.005769,0,Surrogate
6,1,2.5317789078650645,30.2,0.9090916449731419,11.610859060907863,128.6,0.907331,0.005769,1,Surrogate
7,1,2.4743286246508087,29.4,0.9065222432841299,11.610859060907863,128.6,0.907331,0.005769,2,Surrogate
8,1,2.1720141137384403,20.8,0.9102105170024217,11.610859060907863,128.6,0.907331,0.005769,3,Surrogate
9,1,2.0136752410855574,17.2,0.9129556560547217,11.610859060907863,128.6,0.907331,0.005769,4,Surrogate
10,2,2.386272350745003,30.0,0.897872799735191,11.358899456833147,120.80000000000001,0.907331,0.005769,0,Surrogate
11,2,2.4561414936594446,28.0,0.9090916449731419,11.358899456833147,120.80000000000001,0.907331,0.005769,1,Surrogate
12,2,2.2200944862665657,22.8,0.9065222432841297,11.358899456833147,120.80000000000001,0.907331,0.005769,2,Surrogate
13,2,2.162352202826702,20.6,0.9102105170024216,11.358899456833147,120.80000000000001,0.907331,0.005769,3,Surrogate
14,2,2.1340389233354324,19.4,0.9129556560547217,11.358899456833147,120.80000000000001,0.907331,0.005769,4,Surrogate
0,0,2.57295698515322,34.8,0.9008522996860562,11.221313736847458,122.8,0.905618,0.010692,0,Meta
1,0,2.382671895946005,26.6,0.9072242255316036,11.221313736847458,122.8,0.905618,0.010692,1,Meta
2,0,2.0778662253736115,24.6,0.8897724123744155,11.221313736847458,122.8,0.905618,0.010692,2,Meta
3,0,2.242517396885467,21.2,0.9146959894726389,11.221313736847458,122.8,0.905618,0.010692,3,Meta
4,0,1.9453012334891564,15.6,0.9155426420782776,11.221313736847458,122.8,0.905618,0.010692,4,Meta
5,1,2.4245369800349437,30.0,0.900852299686056,11.177057494815845,121.4,0.905618,0.010692,0,Meta
6,1,2.4410826581024208,28.2,0.9072242255316038,11.177057494815845,121.4,0.905618,0.010692,1,Meta
7,1,2.101963776952672,25.2,0.8897724123744155,11.177057494815845,121.4,0.905618,0.010692,2,Meta
8,1,2.3582017958849284,23.8,0.9146959894726387,11.177057494815845,121.4,0.905618,0.010692,3,Meta
9,1,1.85127228384088,14.2,0.9155426420782776,11.177057494815845,121.4,0.905618,0.010692,4,Meta
10,2,2.4377822067849673,30.4,0.9008522996860562,11.090366767880758,117.8,0.905618,0.010692,0,Meta
11,2,2.3521351720859234,25.8,0.9072242255316036,11.090366767880758,117.8,0.905618,0.010692,1,Meta
12,2,2.010613998364446,23.0,0.8897724123744156,11.090366767880758,117.8,0.905618,0.010692,2,Meta
13,2,2.2704261850025422,21.8,0.9146959894726387,11.090366767880758,117.8,0.905618,0.010692,3,Meta
14,2,2.0194092056428783,16.8,0.9155426420782776,11.090366767880758,117.8,0.905618,0.010692,4,Meta
0,0,2.2416025391100005,51.4,0.857415832780181,7.80553077092247,116.39999999999999,0.881174,0.029822,0,Simulated Annealing
1,0,2.337061867576064,24.6,0.9099755926330835,7.80553077092247,116.39999999999999,0.881174,0.029822,1,Simulated Annealing
2,0,1.5155347626906985,20.6,0.8663869190942374,7.80553077092247,116.39999999999999,0.881174,0.029822,2,Simulated Annealing
3,0,0.9727075609004396,15.2,0.8552469969696341,7.80553077092247,116.39999999999999,0.881174,0.029822,3,Simulated Annealing
4,0,0.7386240406452671,4.6,0.9168467475861981,7.80553077092247,116.39999999999999,0.881174,0.029822,4,Simulated Annealing
5,1,2.1978579901471376,49.2,0.8574158327801807,7.862173109139791,121.6,0.881174,0.029822,0,Simulated Annealing
6,1,2.328898556936903,24.4,0.9099755926330835,7.862173109139791,121.6,0.881174,0.029822,1,Simulated Annealing
7,1,1.6081935931734035,22.6,0.8663869190942374,7.862173109139791,121.6,0.881174,0.029822,2,Simulated Annealing
8,1,1.3515044219264458,22.2,0.8552469969696342,7.862173109139791,121.6,0.881174,0.029822,3,Simulated Annealing
9,1,0.3757185469559001,3.2,0.9168467475861982,7.862173109139791,121.6,0.881174,0.029822,4,Simulated Annealing
10,2,2.1689900061462875,47.8,0.8574158327801809,7.138525502578233,114.4,0.881174,0.029822,0,Simulated Annealing
11,2,2.361159419155126,25.2,0.9099755926330836,7.138525502578233,114.4,0.881174,0.029822,1,Simulated Annealing
12,2,1.4859759604491543,20.0,0.8663869190942374,7.138525502578233,114.4,0.881174,0.029822,2,Simulated Annealing
13,2,1.2166851991174965,19.4,0.8552469969696344,7.138525502578233,114.4,0.881174,0.029822,3,Simulated Annealing
14,2,-0.09428508228983169,2.0,0.9168467475861986,7.138525502578233,114.4,0.881174,0.029822,4,Simulated Annealing
0,0,2.526428679726211,28.0,0.9152032877177841,10.970316989404736,94.60000000000001,0.927124,0.007022,0,Random Gridsearch
1,0,2.549132798350996,24.2,0.9310568482864886,10.970316989404736,94.60000000000001,0.927124,0.007022,1,Random Gridsearch
2,0,2.194417939347963,17.2,0.9297478929578807,10.970316989404736,94.60000000000001,0.927124,0.007022,2,Random Gridsearch
3,0,2.1407091269284906,15.8,0.9328402953808407,10.970316989404736,94.60000000000001,0.927124,0.007022,3,Random Gridsearch
4,0,1.5596284450510773,9.4,0.9267699423121742,10.970316989404736,94.60000000000001,0.927124,0.007022,4,Random Gridsearch
5,1,2.5047671829450353,27.4,0.9152032877177845,11.281430830389723,97.4,0.927124,0.007022,0,Random Gridsearch
6,1,2.480730071466598,22.6,0.9310568482864888,11.281430830389723,97.4,0.927124,0.007022,1,Random Gridsearch
7,1,2.2618592201434975,18.4,0.929747892957881,11.281430830389723,97.4,0.927124,0.007022,2,Random Gridsearch
8,1,2.1657104291339064,16.2,0.9328402953808406,11.281430830389723,97.4,0.927124,0.007022,3,Random Gridsearch
9,1,1.8683639267006873,12.8,0.9267699423121739,11.281430830389723,97.4,0.927124,0.007022,4,Random Gridsearch
10,2,2.3554708815825736,23.6,0.9152032877177844,10.739716986013372,87.4,0.927124,0.007022,0,Random Gridsearch
11,2,2.435473479878477,21.6,0.9310568482864888,10.739716986013372,87.4,0.927124,0.007022,1,Random Gridsearch
12,2,2.134519797766896,16.2,0.929747892957881,10.739716986013372,87.4,0.927124,0.007022,2,Random Gridsearch
13,2,2.0617207156098587,14.6,0.9328402953808406,10.739716986013372,87.4,0.927124,0.007022,3,Random Gridsearch
14,2,1.7525321111755667,11.4,0.926769942312174,10.739716986013372,87.4,0.927124,0.007022,4,Random Gridsearch
0,0,2.4190621735679927,31.0,0.8978727997351909,11.610859060907863,128.6,0.907331,0.005769,0,Surrogate
1,0,2.5317789078650645,30.2,0.9090916449731419,11.610859060907863,128.6,0.907331,0.005769,1,Surrogate
2,0,2.4743286246508087,29.4,0.9065222432841299,11.610859060907863,128.6,0.907331,0.005769,2,Surrogate
3,0,2.1720141137384403,20.8,0.9102105170024217,11.610859060907863,128.6,0.907331,0.005769,3,Surrogate
4,0,2.0136752410855574,17.2,0.9129556560547217,11.610859060907863,128.6,0.907331,0.005769,4,Surrogate
5,1,2.3028907418059523,27.6,0.897872799735191,11.250619132759544,118.8,0.907331,0.005769,0,Surrogate
6,1,2.4048481992718953,26.6,0.909091644973142,11.250619132759544,118.8,0.907331,0.005769,1,Surrogate
7,1,2.3590933610732225,26.2,0.9065222432841298,11.250619132759544,118.8,0.907331,0.005769,2,Surrogate
8,1,2.2550110333094042,22.6,0.9102105170024214,11.250619132759544,118.8,0.907331,0.005769,3,Surrogate
9,1,1.92877579729907,15.8,0.9129556560547216,11.250619132759544,118.8,0.907331,0.005769,4,Surrogate
10,2,2.3929168934636706,30.2,0.8978727997351909,11.67649546805591,128.0,0.907331,0.005769,0,Surrogate
11,2,2.4632589614283074,28.2,0.9090916449731418,11.67649546805591,128.0,0.907331,0.005769,1,Surrogate
12,2,2.351430488327655,26.0,0.9065222432841299,11.67649546805591,128.0,0.907331,0.005769,2,Surrogate
13,2,2.2461220858921602,22.4,0.9102105170024216,11.67649546805591,128.0,0.907331,0.005769,3,Surrogate
14,2,2.222767038944117,21.2,0.9129556560547217,11.67649546805591,128.0,0.907331,0.005769,4,Surrogate
0,0,2.4245369800349437,30.0,0.900852299686056,11.177057494815845,121.4,0.905618,0.010692,0,Meta
1,0,2.4410826581024208,28.2,0.9072242255316038,11.177057494815845,121.4,0.905618,0.010692,1,Meta
2,0,2.101963776952672,25.2,0.8897724123744155,11.177057494815845,121.4,0.905618,0.010692,2,Meta
3,0,2.3582017958849284,23.8,0.9146959894726387,11.177057494815845,121.4,0.905618,0.010692,3,Meta
4,0,1.85127228384088,14.2,0.9155426420782776,11.177057494815845,121.4,0.905618,0.010692,4,Meta
5,1,2.5843856809768386,35.2,0.9008522996860558,11.014837302264342,118.0,0.905618,0.010692,0,Meta
6,1,2.3286046746757267,25.2,0.9072242255316034,11.014837302264342,118.0,0.905618,0.010692,1,Meta
7,1,1.9570297522303406,21.8,0.8897724123744157,11.014837302264342,118.0,0.905618,0.010692,2,Meta
8,1,2.17419815290799,19.8,0.9146959894726389,11.014837302264342,118.0,0.905618,0.010692,3,Meta
9,1,1.9706190414734461,16.0,0.9155426420782776,11.014837302264342,118.0,0.905618,0.010692,4,Meta
10,2,2.411113959702802,29.6,0.9008522996860558,11.095710152551657,118.19999999999999,0.905618,0.010692,0,Meta
11,2,2.4481498253255105,28.4,0.9072242255316035,11.095710152551657,118.19999999999999,0.905618,0.010692,1,Meta
12,2,2.0363664944668587,23.6,0.8897724123744155,11.095710152551657,118.19999999999999,0.905618,0.010692,2,Meta
13,2,2.1116777959266537,18.6,0.9146959894726386,11.095710152551657,118.19999999999999,0.905618,0.010692,3,Meta
14,2,2.088402077129832,18.0,0.9155426420782778,11.095710152551657,118.19999999999999,0.905618,0.010692,4,Meta
0,0,2.1978579901471376,49.2,0.8574158327801807,7.862173109139791,121.6,0.881174,0.029822,0,Simulated Annealing
1,0,2.328898556936903,24.4,0.9099755926330835,7.862173109139791,121.6,0.881174,0.029822,1,Simulated Annealing
2,0,1.6081935931734035,22.6,0.8663869190942374,7.862173109139791,121.6,0.881174,0.029822,2,Simulated Annealing
3,0,1.3515044219264458,22.2,0.8552469969696342,7.862173109139791,121.6,0.881174,0.029822,3,Simulated Annealing
4,0,0.3757185469559001,3.2,0.9168467475861982,7.862173109139791,121.6,0.881174,0.029822,4,Simulated Annealing
5,1,2.1563582592403874,47.2,0.8574158327801809,7.855358308257976,111.6,0.881174,0.029822,0,Simulated Annealing
6,1,2.216225394432792,21.8,0.9099755926330836,7.855358308257976,111.6,0.881174,0.029822,1,Simulated Annealing
7,1,1.4759256245956547,19.8,0.8663869190942375,7.855358308257976,111.6,0.881174,0.029822,2,Simulated Annealing
8,1,1.1078823392686923,17.4,0.8552469969696341,7.855358308257976,111.6,0.881174,0.029822,3,Simulated Annealing
9,1,0.8989666907204504,5.4,0.9168467475861984,7.855358308257976,111.6,0.881174,0.029822,4,Simulated Annealing
10,2,2.0952038360870566,44.4,0.8574158327801809,8.10941421203307,120.6,0.881174,0.029822,0,Simulated Annealing
11,2,2.361159419155126,25.2,0.9099755926330836,8.10941421203307,120.6,0.881174,0.029822,1,Simulated Annealing
12,2,1.6848268191943192,24.4,0.8663869190942374,8.10941421203307,120.6,0.881174,0.029822,2,Simulated Annealing
13,2,1.3693620393264543,22.6,0.8552469969696344,8.10941421203307,120.6,0.881174,0.029822,3,Simulated Annealing
14,2,0.5988620982701136,4.0,0.9168467475861986,8.10941421203307,120.6,0.881174,0.029822,4,Simulated Annealing
0,0,2.5047671829450353,27.4,0.9152032877177845,11.281430830389723,97.4,0.927124,0.007022,0,Random Gridsearch
1,0,2.480730071466598,22.6,0.9310568482864888,11.281430830389723,97.4,0.927124,0.007022,1,Random Gridsearch
2,0,2.2618592201434975,18.4,0.929747892957881,11.281430830389723,97.4,0.927124,0.007022,2,Random Gridsearch
3,0,2.1657104291339064,16.2,0.9328402953808406,11.281430830389723,97.4,0.927124,0.007022,3,Random Gridsearch
4,0,1.8683639267006873,12.8,0.9267699423121739,11.281430830389723,97.4,0.927124,0.007022,4,Random Gridsearch
5,1,2.4599835803180627,26.2,0.9152032877177846,10.993469103795558,95.19999999999999,0.927124,0.007022,0,Random Gridsearch
6,1,2.5655266081266737,24.6,0.9310568482864887,10.993469103795558,95.19999999999999,0.927124,0.007022,1,Random Gridsearch
7,1,2.28336542536446,18.8,0.9297478929578809,10.993469103795558,95.19999999999999,0.927124,0.007022,2,Random Gridsearch
8,1,2.213912530951784,17.0,0.9328402953808406,10.993469103795558,95.19999999999999,0.927124,0.007022,3,Random Gridsearch
9,1,1.470680959034578,8.6,0.9267699423121739,10.993469103795558,95.19999999999999,0.927124,0.007022,4,Random Gridsearch
10,2,2.4368165210365236,25.6,0.9152032877177841,11.193623766386192,96.6,0.927124,0.007022,0,Random Gridsearch
11,2,2.4982743811175063,23.0,0.9310568482864887,11.193623766386192,96.6,0.927124,0.007022,1,Random Gridsearch
12,2,2.293947534694996,19.0,0.9297478929578807,11.193623766386192,96.6,0.927124,0.007022,2,Random Gridsearch
13,2,2.3038607676147236,18.6,0.9328402953808406,11.193623766386192,96.6,0.927124,0.007022,3,Random Gridsearch
14,2,1.6607245619224429,10.4,0.9267699423121739,11.193623766386192,96.6,0.927124,0.007022,4,Random Gridsearch
